1917	
	(-0.8172000641,0)	(-0.5082888009,0)	(-0.6876692765,0)	(-0.8435836811,0)	(-0.9438342844,0)
	(-1.042283379,0)	(-0.5353229431,0)	(-1.203601839,0)	(-0.4871376136,0)	(-0.3496615287,0)
	(0.1324547535,0)	(-1.307864246,0)	(-1.13277144,0)	(-0.540432023,0)	(-1.244484084,0)
	(-0.2231208682,0)	(-1.301685899,0)	(-1.573943906,0)	(-1.021035691,0)	(0.5684367462,0)
	(-0.7777134074,0)	(0.5610258187,0)	(-0.8651219081,0)	(-1.452325719,0)	(-0.5607929195,0)
	(-1.600914043,0)	(-0.2201318723,0)	(-0.6735752785,0)	(0.4576279923,0)	(-2.003287398,0)
	(-0.5302710813,0)	(-1.354499803,0)	(-1.003108842,0)	(-0.344593405,0)	(-0.205635352,0)
	(0.4548285179,0)	(-0.5308292681,0)	(-0.4197567571,0)	(-0.3249781842,0)	(-0.7918730897,0)
	(-1.624327053,0)	(-0.2107521266,0)	(-0.848987088,0)	(-0.200378803,0)	(-0.5479992451,0)
	(-1.910356177,0)	(-1.146033223,0)	(-2.086718452,0)	(-0.3431788367,0)	(0.3383706725,0)
	(-0.6724965118,0)	(-0.522466069,0)	(0.1095597158,0)	(0.3731102819,0)	(-0.7661159913,0)
	(0.4684549323,0)	(-0.6028675151,0)	(-0.9712593583,0)	(-0.09393366883,0)	(-0.9588495169,0)
	(0.5890347867,0)	(-0.2604623755,0)	(0.3649937469,0)	(-1.122910722,0)	(-2.449650909,0)
	(0.6482210704,0)	(-1.95217228,0)	(-0.3378142367,0)	(-0.2248673543,0)	(-0.1690159349,0)
	(0.2794150548,0)	(-0.478668063,0)	(-0.3046727333,0)	(-0.4216479381,0)	(-0.2157986311,0)
	(0.6150281968,0)	(-1.136201916,0)	(0.3074473265,0)	(-0.9115544391,0)	(0.0691771801,0)
	(-0.6961861076,0)	(-0.1036638839,0)	(-0.4333881717,0)	(-0.1118908172,0)	(-1.022569225,0)
	(-2.276123238,0)	(-1.479642376,0)	(-0.2884209429,0)	(-1.903300283,0)	(-0.4349853444,0)
	(0.2422293487,0)	(-0.3641724318,0)	(0.2024336347,0)	(-0.2923908477,0)	(-0.5323167348,0)
	(0.2423014379,0)	(0.2981939,0)	(-0.6855637885,0)	(0.3883595623,0)	(-0.3961926673,0)
	(-3.006413926,0)	(0.1791409678,0)	(-0.6712733469,0)	(-0.09972575948,0)	(-0.1133742404,0)
	(0.3573082559,0)	(0.4607485513,0)	(0.3200522639,0)	(-0.1276419631,0)	(-0.7745483517,0)
	(-2.172401734,0)	(-0.9240778538,0)	(-1.627282194,0)	(-0.02638259337,0)	(-0.1664316008,0)
	(-0.1118824651,0)	(-0.1019861727,0)	(0.1830915491,0)	(0.4361453099,0)	(-0.2245371824,0)
	(-0.2948443127,0)	(-0.4216892264,0)	(-0.00386596889,0)	(1.107951741,0)	(-1.295664938,0)
	(-0.2325687751,0)	(-2.417369346,0)	(-0.2577064685,0)	(-0.07973039229,0)	(-0.6981797359,0)
	(-0.1183739749,0)	(0.0787166099,0)	(-0.3327094157,0)	(-0.5248287941,0)	(-0.09411594319,0)
	(-0.8596865705,0)	(-2.14888824,0)	(-1.065772885,0)	(-0.0111659627,0)	(-1.364477215,0)
	(-0.3056989321,0)	(0.1532587002,0)	(-0.2606759915,0)	(0.1460663138,0)	(-0.2275305824,0)
	(0.1270717602,0)	(-0.3667534722,0)	(0.1997921979,0)	(-0.4817437583,0)	(0.2359346002,0)
	(0.6156589271,0)	(0.3218552505,0)	(-0.164219629,0)	(-1.191910423,0)	(1.586017498,0)
	(-3.501010022,0)	(-2.776570028,0)	(-0.2038633034,0)	(0.1664757832,0)	(-0.5850185031,0)
	(-0.1277832827,0)	(0.2310476868,0)	(0.3831678794,0)	(-0.1693130721,0)	(-0.7316038851,0)
	(-1.608510075,0)	(-0.5970216669,0)	(-0.9176623885,0)	(-0.07404133128,0)	(-0.09214516709,0)
	(-0.1276403848,0)	(-0.103768254,0)	(-0.07743245692,0)	(-0.3988968914,0)	(-0.2169990826,0)
	(-0.2750960641,0)	(-0.4135278404,0)	(0.1332793652,0)	(0.1210571048,0)	(-0.2677112056,0)
	(-4.285114841,0)	(2.421826405,0)	(-1.347852993,0)	(-0.1151546045,0)	(-2.820793558,0)
	(-0.06212806864,0)	(-2.417965778,0)	(0.04700247448,0)	(-0.2156360567,0)	(-0.2803150791,0)
	(-0.05934680965,0)	(-0.07825241906,0)	(-0.6216131589,0)	(-0.03621713127,0)	(-0.403225148,0)
	(-0.719457344,0)	(-1.206746591,0)	(0.2518753475,0)	(-0.8310200147,0)	(0.1064473278,0)
	(-0.1756980322,0)	(0.1098355454,0)	(-0.2308653666,0)	(-0.1960385344,0)	(0.09990517958,0)
	(0.3326890863,0)	(0.4262906173,0)	(0.1766803136,0)	(0.1894617376,0)	(-0.5509428626,0)
	(0.2683308748,0)	(-0.1580347003,0)	(-0.1287758238,0)	(-2.908501957,0)	(-4.93823092,0)
	(0.003148727807,0)	(-3.127575606,0)	(-1.97349041,0)	(-0.1395583679,0)	(-0.08570887188,0)
